date,vwretd,ewretd,sprtrn
1992-01-28,0.000131,0.00531,-7.2e-05
1992-01-29,-0.009785,-0.00115,-0.011134
1992-01-30,0.004172,0.005177,0.003144
1992-01-31,-0.00481,0.004681,-0.006899
1992-02-03,0.002604,0.004491,0.00181
1992-02-04,0.009858,0.00702,0.010549
1992-02-05,0.002355,0.006616,-2.4e-05
1992-02-06,0.000532,0.005779,-4.8e-05
1992-02-07,-0.005349,0.003053,-0.006597
1992-02-10,0.004783,0.003005,0.006519
1992-02-11,0.000312,0.002716,-2.4e-05
1992-02-12,0.008709,0.008405,0.008145
1992-02-13,-0.008016,0.000229,-0.008247
1992-02-14,-0.002059,0.004206,-0.002925
1992-02-18,-0.011551,-0.003697,-0.012364
1992-02-19,3e-06,-0.003249,0.00216
1992-02-20,0.012474,0.008768,0.013815
1992-02-21,-0.004983,0.001126,-0.005895
1992-02-24,-0.000364,-0.001549,0.001969
1992-02-25,-0.004183,-0.004095,-0.004415
1992-02-26,0.011719,0.009057,0.011938
1992-02-27,-0.000865,0.004674,-0.003587
1992-02-28,-0.002338,0.003851,-0.002803
1992-03-02,0.000958,0.005168,-0.000606
1992-03-03,0.000517,0.002085,0.00097
1992-03-04,-0.007033,-0.001672,-0.008526
1992-03-05,-0.008408,-0.006514,-0.006889
1992-03-06,-0.005362,-0.003356,-0.005092
1992-03-09,0.001412,-6.4e-05,0.001904
1992-03-10,0.005301,0.004524,0.004146
1992-03-11,-0.007128,-0.003939,-0.007029
1992-03-12,-0.00126,-0.001234,-0.000347
1992-03-13,0.004298,0.003033,0.004828
1992-03-16,0.000298,-0.001136,0.001355
1992-03-17,0.007302,0.004046,0.00785
1992-03-18,2.3e-05,0.003147,-0.00105
1992-03-19,0.001774,0.001194,0.001589
1992-03-20,0.001752,0.000699,0.00366
1992-03-23,-0.002658,-0.002052,-0.00338
1992-03-24,-0.002592,-0.001854,-0.002513
1992-03-25,-0.001184,0.001305,-0.003326
1992-03-26,-0.000975,-0.000619,0.000834
1992-03-27,-0.010421,-0.007053,-0.01069
1992-03-30,-0.00186,-0.001978,-0.001239
1992-03-31,0.001499,0.000796,0.001712
1992-04-01,0.000199,-0.005059,0.001338
1992-04-02,-0.009487,-0.005578,-0.009227
1992-04-03,0.000386,-0.003531,0.002622
1992-04-06,0.009007,0.002007,0.010061
1992-04-07,-0.01774,-0.014873,-0.018566
1992-04-08,-0.010243,-0.013199,-0.008943
1992-04-09,0.015967,0.012684,0.015564
1992-04-10,0.00745,0.006304,0.00911
1992-04-13,0.004585,0.000749,0.004428
1992-04-14,0.013444,0.006019,0.015539
1992-04-15,0.007901,0.003621,0.009433
1992-04-16,-0.002718,-0.003981,-0.000553
1992-04-20,-0.014468,-0.011642,-0.014157
1992-04-21,-0.001111,-0.00307,0.000244
1992-04-22,-0.00017,0.001548,-0.001097
1992-04-23,0.002202,0.001248,0.004368
1992-04-24,-0.004537,0.000424,-0.006268
1992-04-27,-0.002185,-0.003514,-0.001394
1992-04-28,-0.000772,-0.005183,0.001616
1992-04-29,0.00767,0.005545,0.007113
1992-04-30,0.008763,0.009026,0.007111
1992-05-01,-0.00403,0.001866,-0.005832
1992-05-04,0.009849,0.00399,0.010617
1992-05-05,0.001794,0.003079,-0.000168
1992-05-06,0.000615,0.003235,-0.00012
